x,y
-12.3702,0.579761
-12.2837,0.760009
-12.1998,0.941497
-12.1173,1.12364
-12.0343,1.30556
-11.9501,1.4869
-11.8611,1.66597
-11.7671,1.84244
-11.6702,2.01735
-11.5723,2.19171
-11.4752,2.36649
-11.3801,2.5424
-11.288,2.71987
-11.1996,2.89921
-11.1163,3.08096
-11.0386,3.26522
-10.9693,3.45274
-10.9094,3.64351
-10.8575,3.83661
-10.8121,4.03134
-10.773,4.22743
-10.7401,4.42464
-10.7126,4.6227
-10.6885,4.82119
-10.667,5.01998
-10.6463,5.21887
-10.6241,5.41758
-10.5982,5.61584
-10.5667,5.8133
-10.5288,6.00961
-10.4877,6.20529
-10.4457,6.4008
-10.4047,6.59649
-10.3665,6.79277
-10.332,6.98971
-10.3003,7.1871
-10.2473,7.37916
-10.131,7.53934
-9.95286,7.63019
-9.77575,7.723
-9.60034,7.81898
-9.42605,7.91697
-9.25197,8.01534
-9.07699,8.1121
-8.90094,8.2069
-8.72332,8.29871
-8.543,8.38512
-8.36088,8.46766
-8.17809,8.54869
-7.99527,8.62969
-7.81276,8.71136
-7.63144,8.79564
-7.45215,8.88414
-7.27546,8.97773
-7.10183,9.07687
-6.93192,9.18224
-6.76784,9.29648
-6.60893,9.41783
-6.45532,9.54581
-6.30702,9.67991
-6.16357,9.8192
-6.02395,9.96232
-5.88763,10.1086
-5.75463,10.2579
-5.62245,10.4079
-5.4896,10.5574
-5.3554,10.7056
-5.21844,10.8513
-5.07728,10.9929
-4.93292,11.1312
-4.78675,11.2677
-4.63881,11.4022
-4.49051,11.5363
-4.34433,11.6727
-4.20086,11.812
-4.05748,11.9508
-3.88459,12.0388
-3.68605,12.0153
-3.48852,11.9843
-3.29076,11.9548
-3.09254,11.9285
-2.89395,11.9052
-2.69512,11.8841
-2.49627,11.8631
-2.29766,11.8401
-2.09985,11.811
-1.90301,11.7759
-1.70696,11.7366
-1.51129,11.6954
-1.3153,11.6558
-1.11879,11.6189
-0.921687,11.5853
-0.723987,11.5554
-0.525611,11.5304
-0.326536,11.5119
-0.126908,11.5008
0.0729639,11.4979
0.272674,11.5073
0.471904,11.5242
0.670602,11.5465
0.868707,11.5735
1.06605,11.6057
1.26256,11.6426
1.45858,11.6821
1.65447,11.7222
1.85061,11.761
2.04732,11.7968
2.24488,11.8276
2.44331,11.8522
2.64198,11.8748
2.84077,11.8963
3.03953,11.9181
3.23797,11.9427
3.43593,11.9707
3.63334,12.0025
3.83077,12.0284
4.01551,11.9817
4.15645,11.8398
4.29914,11.6998
4.4446,11.5626
4.59198,11.4275
4.74051,11.2936
4.8884,11.159
5.03417,11.0222
5.17729,10.8826
5.3161,10.7387
5.45141,10.5915
5.58468,10.4424
5.71803,10.2934
5.8527,10.1456
5.98904,9.99936
6.1276,9.85522
6.26975,9.71462
6.41695,9.57934
6.56932,9.44992
6.72704,9.32707
6.89032,9.21173
7.05884,9.10417
7.23143,9.00325
7.40717,8.90791
7.58583,8.81817
7.7667,8.73292
7.94916,8.65116
8.13252,8.57139
8.31568,8.49121
8.49785,8.40879
8.67844,8.32298
8.85673,8.23248
9.03285,8.13781
9.20818,8.0417
9.38222,7.94325
9.55593,7.84423
9.73094,7.74753
9.90763,7.65396
10.0795,7.55346
10.2173,7.41254
10.2924,7.2305
10.322,7.03276
10.3552,6.83558
10.3918,6.63901
10.4312,6.44299
10.4726,6.24737
10.5136,6.05166
10.5516,5.85536
10.5848,5.65821
10.6126,5.46021
10.6369,5.26174
10.6591,5.06303
10.6809,4.86427
10.7043,4.6657
10.7316,4.46763
10.7645,4.27043
10.8028,4.07418
10.8464,3.87906
10.897,3.68568
10.9562,3.49473
11.024,3.30666
11.0995,3.12157
11.1821,2.93948
11.2699,2.75987
11.3617,2.58223
11.4568,2.40634
11.5544,2.23183
11.653,2.05786
11.7507,1.88342
11.846,1.70764
11.9373,1.52977
12.0242,1.3497
12.1082,1.16827
12.191,0.986263
12.274,0.804352
12.3594,0.623547
12.448,0.444305
12.54,0.266808
12.6114,0.0830253
12.6044,-0.112486
12.5342,-0.298885
12.4459,-0.478319
12.3606,-0.659123
12.2779,-0.841173
12.1966,-1.02385
12.1142,-1.20605
12.0294,-1.3871
11.941,-1.56645
11.8477,-1.74326
11.7501,-1.91777
11.6502,-2.09099
11.55,-2.26402
11.4511,-2.43779
11.3546,-2.61294
11.2615,-2.78986
11.1727,-2.96898
11.0892,-3.15063
11.0131,-3.33549
10.9466,-3.52398
10.8889,-3.7154
10.8388,-3.90894
10.7961,-4.10422
10.7607,-4.301
10.7314,-4.49877
10.7065,-4.69716
10.6853,-4.89598
10.6665,-5.09504
10.6475,-5.2941
10.6262,-5.4929
10.6007,-5.69121
10.5701,-5.88878
10.5347,-6.08557
10.4959,-6.28172
10.4544,-6.4773
10.4125,-6.67281
10.3729,-6.8688
10.3364,-7.0654
10.2989,-7.26177
10.216,-7.43543
10.0555,-7.54904
9.87604,-7.63728
9.69844,-7.72912
9.52236,-7.82385
9.34765,-7.92111
9.1737,-8.01971
8.99946,-8.11779
