x,y
-11.7614,1.85298
-11.6644,2.02787
-11.5666,2.20227
-11.4696,2.37713
-11.3747,2.55315
-11.2828,2.73074
-11.1946,2.91023
-11.1116,3.09214
-11.0345,3.27662
-10.9657,3.46436
-10.9063,3.65528
-10.8547,3.84849
-10.8097,4.04332
-10.771,4.23949
-10.7383,4.43677
-10.711,4.63487
-10.6871,4.8334
-10.6656,5.03221
-10.6449,5.2311
-10.6224,5.42981
-10.5961,5.62803
-10.5642,5.82544
-10.526,6.02172
-10.4849,6.21741
-10.443,6.41294
-10.402,6.60868
-10.3641,6.80502
-10.3298,7.00202
-10.2969,7.19917
-10.24,7.38951
-10.1197,7.54497
-9.94167,7.63595
-9.76467,7.729
-9.58933,7.82515
-9.41505,7.92321
-9.2409,8.02149
-9.06582,8.11812
-8.88965,8.21272
-8.71183,8.30418
-8.53138,8.39033
-8.34918,8.47276
-8.16636,8.55379
-7.98355,8.63483
-7.8011,8.71668
-7.6199,8.80124
-7.44075,8.89008
-7.26424,8.98403
-7.09082,9.08357
-6.9213,9.18956
-6.75755,9.30431
-6.599,9.42613
-6.44574,9.55455
-6.29776,9.68903
-6.15456,9.82859
-6.01515,9.97194
-5.87909,10.1185
-5.74616,10.2679
-5.61396,10.4179
-5.48104,10.5673
-5.34667,10.7154
-5.20943,10.8608
-5.06807,11.0023
-4.92357,11.1405
-4.77726,11.2768
-4.62925,11.4113
-4.48104,11.5455
-4.33501,11.6821
-4.19171,11.8216
-4.04629,11.9579
-3.87103,12.0366
-3.67244,12.0136
-3.47487,11.9827
-3.27706,11.9534
-3.07879,11.9274
-2.88016,11.9043
-2.68131,11.8831
-2.48246,11.862
-2.2839,11.8384
-2.08614,11.8089
-1.88934,11.7734
-1.69332,11.7339
-1.49761,11.6929
-1.30157,11.6534
-1.10501,11.6167
-0.907853,11.5832
-0.710093,11.5536
-0.51165,11.5291
-0.312516,11.5111
-0.112849,11.5005
0.0870341,11.4985
0.286729,11.5085
0.485942,11.5257
0.684619,11.5484
0.882689,11.5758
1.07998,11.6083
1.27647,11.6455
1.47249,11.685
1.66841,11.7251
1.86461,11.7637
2.0614,11.7992
2.25904,11.8295
2.45751,11.854
2.6562,11.8765
2.85502,11.898
3.05377,11.92
3.25219,11.9448
3.45014,11.9732
3.64751,12.0053
3.84509,12.0281
4.02539,11.9723
4.16647,11.8306
4.30942,11.6908
4.45507,11.5538
4.6026,11.4188
4.75115,11.2849
4.8989,11.1502
5.04454,11.0132
5.18733,10.8732
5.32584,10.729
5.46093,10.5815
5.59416,10.4324
5.72757,10.2835
5.86231,10.1357
5.99875,9.98951
6.1375,9.84552
6.27998,9.70524
6.42752,9.57031
6.58026,9.4413
6.73837,9.31893
6.90203,9.20412
7.07084,9.09699
7.24364,8.9964
7.41961,8.90145
7.59844,8.812
7.77942,8.72697
7.96198,8.64536
8.14534,8.56557
8.32845,8.48521
8.51053,8.40254
8.69097,8.31637
8.86906,8.22546
9.04517,8.13072
9.22041,8.03442
9.3944,7.93585
9.56822,7.83697
9.74337,7.74049
9.9202,7.64713
10.0903,7.5439
10.2242,7.39965
10.2943,7.21602
10.3242,7.0183
10.3577,6.82116
10.3945,6.62462
10.4341,6.42862
10.4756,6.233
10.5164,6.03723
10.5541,5.84086
10.5869,5.64361
10.6144,5.44556
10.6385,5.24705
10.6607,5.04831
10.6826,4.84954
10.7062,4.65097
10.7339,4.45295
10.7673,4.2558
10.8059,4.0596
10.8499,3.86457
10.9012,3.67134
10.9611,3.48061
11.0295,3.29273
11.1056,3.10786
11.1887,2.92597
11.2769,2.74651
11.3689,2.56899
11.4642,2.39321
11.562,2.21876
11.6606,2.04477
11.7582,1.87025
11.8532,1.69432
11.9442,1.51626
12.0308,1.33605
12.1148,1.15454
12.1975,0.972491
12.2807,0.79063
12.3663,0.609911
12.4551,0.430782
12.5474,0.253385
12.6135,0.0677964
12.6,-0.127251
12.5272,-0.312646
12.4392,-0.492196
12.3541,-0.673123
12.2716,-0.855274
12.1902,-1.03796
12.1077,-1.22009
12.0226,-1.40108
11.9339,-1.58026
11.8402,-1.75688
11.7423,-1.93128
11.6424,-2.10447
11.5422,-2.27755
11.4435,-2.45143
11.3472,-2.62673
11.2544,-2.80383
11.1659,-2.98315
11.0829,-3.16503
11.0076,-3.35021
10.9418,-3.53899
10.8848,-3.73061
10.8352,-3.9243
10.7931,-4.11975
10.7583,-4.31664
10.7293,-4.51448
10.7047,-4.71293
10.6839,-4.9118
10.6651,-5.11089
10.6461,-5.30995
10.6245,-5.50875
10.5986,-5.70703
10.5675,-5.90455
10.5319,-6.10131
10.4928,-6.29742
10.4511,-6.49299
10.4093,-6.68855
10.37,-6.88461
10.3338,-7.08127
10.296,-7.27762
10.2053,-7.44719
10.0412,-7.55591
9.86192,-7.64447
9.68445,-7.73661
9.50847,-7.83157
9.33387,-7.92906
9.15993,-8.02771
8.98563,-8.12573
8.81039,-8.22206
8.63308,-8.31449
8.45343,-8.40228
8.27228,-8.48696
8.09062,-8.57056
7.90897,-8.65419
7.72807,-8.7394
7.54889,-8.82815
7.37204,-8.92147
7.19768,-9.01935
7.02584,-9.12159
6.85938,-9.23222
6.69796,-9.35022
6.54107,-9.47415
6.3895,-9.60453
6.24308,-9.74069
6.10043,-9.88081
5.9607,-10.0238
5.82441,-10.1702
5.69038,-10.3186
5.55634,-10.467
5.42115,-10.6143
5.28396,-10.7598
5.14347,-10.9021
4.99925,-11.0406
4.85239,-11.1763
4.70416,-11.3105
4.55657,-11.4454
4.41103,-11.5826
4.26794,-11.7223
4.13632,-11.7951
4.04078,-11.6194
3.94524,-11.4437
3.8497,-11.2681
3.75416,-11.0924
3.65973,-10.9162
3.58081,-10.7324
3.50189,-10.5487
3.42298,-10.3649
3.34406,-10.1812
3.26514,-9.99747
3.07942,-10.0057
2.88013,-10.0214
2.68082,-10.0377
2.48212,-10.0601
2.28417,-10.0884
2.087,-10.1217
1.8896,-10.1537
1.6914,-10.1802
1.4922,-10.1976
1.29253,-10.2084
1.09266,-10.2148
0.892715,-10.2176
0.692745,-10.2177
0.492782,-10.216
0.292827,-10.2134
0.0928688,-10.211
-0.107102,-10.2105
-0.307054,-10.2132
-0.507001,-10.2163
-0.706963,-10.2182
-0.906934,-10.2182
-1.10689,-10.2154
-1.30676,-10.2094
-1.50645,-10.1988
-1.70564,-10.1812
-1.90378,-10.1543
-2.1009,-10.1208
-2.29832,-10.0889
-2.49649,-10.0622
-2.69535,-10.0412
-2.89476,-10.0263
-3.0943,-10.0132
-3.28346,-9.95003
-3.45473,-9.84743
-3.62326,-9.73979
-3.79566,-9.63848
-3.97145,-9.54318
-4.15,-9.45315
-4.32996,-9.36594
-4.50909,-9.27705
-4.68493,-9.18184
-4.85647,-9.07908
-5.0243,-8.97037
-5.18921,-8.85727
-5.35219,-8.74141
-5.51408,-8.62402
-5.67541,-8.50587
-5.8366,-8.3875
-5.998,-8.26945
-6.15985,-8.152
-6.32184,-8.03475
-6.48351,-7.91705
-6.64466,-7.79866
-6.80493,-7.67907
-6.96343,-7.55714
-7.11913,-7.43165
-7.27077,-7.30131
-7.4161,-7.16396
-7.55534,-7.02045
-7.69364,-6.87601
-7.83478,-6.73435
-7.97981,-6.59669
-8.12968,-6.4643
-8.28447,-6.3377
-8.44308,-6.21594
-8.54722,-6.04608
-8.62457,-5.86175
-8.7013,-5.67709
-8.78374,-5.4949
-8.87144,-5.31519
-8.96374,-5.1378
-9.0576,-4.96122
-9.14833,-4.78302
-9.22895,-4.60003
-9.30133,-4.41362
-9.36824,-4.22518
-9.4321,-4.03568
-9.49446,-3.84568
-9.55546,-3.65524
-9.61522,-3.46441
-9.67474,-3.2735
-9.73557,-3.08301
-9.79782,-2.89297
-9.86096,-2.70323
-9.92424,-2.51353
-9.98685,-2.32361
-10.0475,-2.13305
-10.1045,-1.94137
-10.1563,-1.74824
-10.2013,-1.5534
-10.2379,-1.35682
-10.2697,-1.15938
-10.3017,-0.961982
-10.337,-0.765163
-10.3775,-0.56933
-10.4243,-0.374917
-10.4758,-0.181703
-10.4725,0.0180895
-10.4308,0.213659
-10.3798,0.407001
-10.3363,0.602199
-10.3007,0.798971
-10.2714,0.996788
-10.2458,1.19511
-10.219,1.39327
-10.1848,1.59031
-10.1414,1.78551
-10.0911,1.97905
-10.0356,2.17117
-9.97641,2.36218
-9.91488,2.55245
-9.8523,2.74237
-9.78954,2.93224
-9.7272,3.12225
-9.66544,3.31245
-9.60417,3.5028
-9.54264,3.69307
-9.48003,3.88299
-9.41561,4.0723
-9.34854,4.26069
-9.27766,4.44768
-9.20133,4.6325
-9.11659,4.81363
-9.02352,4.99062
-8.92905,5.16687
-8.83728,5.34454
-8.74993,5.52443
-8.6684,5.70702
-8.59405,5.89265
-8.52508,6.08024
-8.41167,6.24473
-8.26566,6.38134
-8.11269,6.51014
-7.96349,6.64328
-7.81822,6.7807
-7.67617,6.92145
-7.5352,7.06328
-7.39248,7.20334
-7.24382,7.33708
-7.08949,7.46423
-6.93136,7.58664
-6.77086,7.70592
-6.60883,7.82312
-6.44594,7.93911
-6.28288,8.05487
-6.12024,8.17122
-5.95824,8.28846
-5.79653,8.40609
-5.63497,8.52394
-5.47379,8.64231
-5.31242,8.76041
-5.14991,8.87693
-4.98558,8.99088
-4.8187,9.10105
-4.64785,9.20493
-4.47177,9.29972
-4.29379,9.39089
-4.11628,9.48297
-3.94033,9.57799
-3.76675,9.67726
-3.59603,9.78139
-3.42673,9.88736
-3.23913,9.95562
-3.04114,9.98322
-2.84149,9.99435
-2.6424,10.013
-2.44415,10.0391
-2.24679,10.0713
-2.05007,10.1072
-1.85333,10.143
-1.65566,10.1731
-1.45668,10.1929
-1.25712,10.2057
-1.05731,10.2136
-0.857379,10.2175
-0.65741,10.2183
-0.45744,10.2174
-0.257473,10.216
-0.0575049,10.2148
0.142466,10.2152
0.342433,10.2165
0.542401,10.2177
0.742371,10.2172
0.94232,10.2143
1.14221,10.2085
1.34195,10.1991
1.54132,10.1839
1.73982,10.1598
1.93703,10.1267
2.13379,10.091
2.33085,10.057
2.52874,10.0283
2.72749,10.0064
2.92695,9.99222
3.12633,9.9805
3.31982,9.93333
3.49608,9.83898
3.6664,9.73422
3.83927,9.63371
4.01477,9.53786
4.19244,9.44609
4.37118,9.35643
4.54881,9.26463
4.72251,9.16559
4.89202,9.05952
5.05819,8.94829
5.22168,8.83313
5.38331,8.71539
5.54401,8.59637
5.70457,8.47717
5.86558,8.35859
6.02728,8.24093
6.18939,8.12384
6.35173,8.00708
6.51409,7.89034
6.6761,7.77312
6.83718,7.65462
6.9965,7.53377
7.153,7.40931
7.30504,7.27946
7.4509,7.14268
7.59266,7.00164
7.73379,6.85997
7.87714,6.72056
8.02437,6.58525
8.17569,6.45453
8.32767,6.32482
8.45989,6.1759
8.55388,5.99975
8.6256,5.8131
8.70351,5.62895
8.78814,5.44779
8.87802,5.26916
8.97151,5.09239
9.06615,4.91624
9.157,4.73814
9.23808,4.55537
9.31139,4.36933
9.38001,4.18151
